title,index_movie
toy story,"[2285, 10998, 11507, 11250, 6278]"
jumanji,"[10720, 13024, 7785, 20185, 1472]"
grumpier old men,"[2530, 19874, 9685, 3117, 3161]"
waiting to exhale,"[519, 4133, 8234, 6340, 7862]"
father of the bride part ii,"[5130, 15594, 21235, 10764, 20713]"
heat,"[9486, 12131, 13916, 2475, 5911]"
sabrina,"[398, 12232, 6749, 1792, 4628]"
tom and huck,"[424, 2847, 4467, 20081, 18482]"
sudden death,"[12826, 10510, 515, 304, 21481]"
goldeneye,"[2255, 4344, 2186, 2663, 2661]"
the american president,"[81, 1056, 3732, 3314, 20704]"
dracula: dead and loving it,"[8031, 13939, 2842, 3905, 4275]"
balto,"[17147, 12739, 13628, 1531, 10116]"
nixon,"[2740, 1591, 5171, 11522, 1652]"
cutthroat island,"[7269, 12357, 16659, 20190, 9580]"
casino,"[866, 332, 858, 872, 3084]"
sense and sensibility,"[13354, 1195, 4972, 2045, 7910]"
four rooms,"[20969, 15595, 19440, 13536, 232]"
ace ventura: when nature calls,"[10352, 6718, 4956, 8617, 17433]"
money train,"[2475, 11424, 3875, 9068, 1429]"
get shorty,"[4766, 11883, 8430, 17446, 14595]"
copycat,"[19493, 368, 44, 13963, 1231]"
assassins,"[4637, 3892, 5032, 10552, 3653]"
powder,"[6085, 4096, 21099, 19660, 567]"
leaving las vegas,"[8986, 3711, 11017, 3192, 13932]"
othello,"[9244, 9071, 9694, 19082, 12407]"
now and then,"[9115, 2164, 21505, 9125, 6203]"
persuasion,"[1933, 15771, 17460, 13012, 6447]"
the city of lost children,"[3676, 7073, 825, 6929, 4321]"
shanghai triad,"[3758, 6773, 12337, 21183, 258]"
dangerous minds,"[10424, 15648, 4766, 4792, 10199]"
twelve monkeys,"[123, 7788, 1487, 2941, 20718]"
babe,"[11806, 1712, 20704, 15677, 13923]"
carrington,"[9590, 10234, 1795, 8376, 19582]"
dead man walking,"[19521, 17253, 571, 17544, 7497]"
it takes two,"[14666, 18212, 15758, 20296, 85]"
clueless,"[1077, 8084, 1811, 10018, 16206]"
"cry, the beloved country","[2391, 15291, 6366, 6809, 19155]"
richard iii,"[885, 21584, 9162, 3712, 2431]"
dead presidents,"[5465, 13939, 12281, 12380, 4857]"
restoration,"[14388, 13990, 15750, 19106, 19200]"
mortal kombat,"[3663, 917, 1769, 6129, 212]"
to die for,"[473, 11759, 19440, 4541, 4429]"
how to make an american quilt,"[3732, 335, 10882, 20532, 9378]"
se7en,"[19744, 351, 9350, 887, 935]"
pocahontas,"[4554, 2950, 1689, 13753, 17873]"
when night is falling,"[17606, 20579, 1848, 16988, 16470]"
the usual suspects,"[15789, 3698, 1014, 16056, 6741]"
mighty aphrodite,"[3382, 4515, 5914, 20433, 15693]"
lamerica,"[8345, 8155, 18435, 9425, 17522]"
the big green,"[5873, 2164, 19889, 16367, 3457]"
georgia,"[9176, 7491, 10199, 3205, 11067]"
home for the holidays,"[13387, 2164, 2540, 16881, 1760]"
the postman,"[15636, 19222, 19902, 15633, 17504]"
the indian in the cupboard,"[9303, 2313, 5379, 4856, 4788]"
eye for an eye,"[5707, 13387, 1046, 20329, 9263]"
mr. holland's opus,"[20936, 583, 2720, 6205, 2164]"
don't be a menace to south central while drinking your juice in the hood,"[17724, 9314, 2164, 10670, 314]"
two bits,"[4788, 8234, 16452, 12971, 2164]"
french twist,"[12783, 10234, 6528, 21704, 14832]"
friday,"[2334, 3070, 701, 5025, 4209]"
from dusk till dawn,"[1792, 1591, 1456, 1614, 19911]"
kicking and screaming,"[3702, 18236, 10426, 9422, 3261]"
les miserables,"[8089, 4630, 6458, 20203, 7275]"
bed of roses,"[284, 76, 1056, 17198, 4469]"
screamers,"[12397, 2761, 21313, 9637, 18250]"
the crossing guard,"[13963, 8511, 6626, 3412, 603]"
the juror,"[2196, 5474, 3977, 15966, 2417]"
the white balloon,"[13352, 18506, 21772, 14613, 14037]"
things to do in denver when you're dead,"[2331, 840, 5551, 116, 4582]"
antonia's line,"[18947, 20402, 11759, 18945, 12484]"
angels and insects,"[1574, 9855, 6323, 5980, 15112]"
white squall,"[1119, 18496, 124, 17253, 15173]"
dunston checks in,"[15109, 5488, 4774, 1429, 8691]"
black sheep,"[1017, 9518, 16639, 12394, 9432]"
nick of time,"[593, 2572, 10667, 10469, 16567]"
mary reilly,"[19493, 21589, 15192, 7052, 17721]"
beautiful girls,"[2466, 2948, 11828, 1760, 10947]"
broken arrow,"[15574, 7129, 21442, 1877, 16475]"
la haine,"[18149, 18393, 17673, 19061, 17362]"
shopping,"[4183, 10732, 4972, 264, 12545]"
city hall,"[4056, 2879, 3845, 10, 1046]"
bottle rocket,"[3682, 6364, 8642, 11243, 5316]"
unforgettable,"[13930, 368, 11246, 5037, 9019]"
happy gilmore,"[1202, 3128, 2275, 4046, 2113]"
the bridges of madison county,"[1910, 8827, 4178, 2392, 2089]"
nobody loves me,"[17301, 16210, 487, 7473, 7272]"
muppet treasure island,"[17310, 15892, 5613, 19945, 15924]"
catwalk,"[10415, 13859, 13469, 241, 18147]"
braveheart,"[5894, 4423, 868, 935, 6211]"
taxi driver,"[7163, 958, 2741, 5752, 2543]"
rumble in the bronx,"[600, 6732, 6714, 607, 7675]"
before and after,"[8589, 9280, 15677, 8498, 6042]"
happiness is in the field,"[10631, 11703, 14518, 19570, 21696]"
the young poisoner's handbook,"[21722, 9500, 1192, 10179, 11987]"
if lucy fell,"[1811, 5740, 1111, 5875, 5397]"
steal big steal little,"[15436, 4057, 9990, 5748, 19]"
race the sun,"[2164, 16087, 8481, 15677, 18127]"
the boys of st. vincent,"[20753, 21131, 14974, 5532, 6363]"
boomerang,"[2937, 3313, 81, 20969, 401]"
chungking express,"[6111, 19507, 7389, 8061, 21420]"
the star maker,"[17298, 19902, 19361, 8713, 4375]"
flirting with disaster,"[7317, 9518, 1464, 4766, 4416]"
angela,"[10199, 16054, 14978, 4300, 1048]"
jade,"[301, 17491, 1481, 381, 485]"
down periscope,"[10571, 9350, 2941, 17106, 586]"
up close & personal,"[13939, 76, 785, 150, 4485]"
the birdcage,"[10352, 16350, 19440, 8976, 15618]"
virgin mary,"[13576, 15828, 5989, 19522, 76]"
the brothers mcmullen,"[569, 8341, 4915, 12378, 3530]"
bad boys,"[4845, 1678, 1958, 12086, 13676]"
the basketball diaries,"[317, 8151, 8589, 4953, 10188]"
an awfully big adventure,"[9325, 12993, 11178, 137, 5461]"
amateur,"[879, 571, 18157, 9321, 9953]"
apollo 13,"[2588, 2184, 9829, 2925, 10084]"
rob roy,"[8215, 1372, 6114, 2466, 4865]"
the addiction,"[8234, 4582, 18250, 11611, 17034]"
batman forever,"[453, 8660, 12956, 8892, 1717]"
belle de jour,"[3245, 1984, 4928, 14888, 6653]"
beyond rangoon,"[113, 10, 20610, 19862, 11936]"
blue in the face,"[4766, 8245, 15068, 151, 4976]"
canadian bacon,"[18177, 20484, 9767, 20618, 2761]"
casper,"[3600, 8032, 9679, 13676, 2260]"
clockers,"[1056, 284, 9350, 12339, 1487]"
crimson tide,"[8553, 72, 3668, 7696, 11024]"
crumb,"[8423, 11604, 16692, 8778, 12180]"
desperado,"[13927, 5465, 19623, 16056, 2409]"
devil in a blue dress,"[165, 9050, 2112, 21289, 2071]"
die hard: with a vengeance,"[4766, 1958, 4882, 5213, 11530]"
the doom generation,"[2164, 14760, 9391, 13983, 2215]"
first knight,"[12366, 12072, 2493, 10469, 9305]"
free willy 2 - the adventure home,"[1127, 349, 2495, 3687, 15997]"
hackers,"[8994, 5213, 17198, 9089, 840]"
jeffrey,"[1168, 9652, 16608, 19579, 9953]"
johnny mnemonic,"[18141, 16829, 3892, 21681, 21076]"
judge dredd,"[304, 2448, 10667, 9065, 14596]"
kids,"[14063, 9391, 5408, 11423, 16661]"
living in oblivion,"[14904, 3702, 2164, 4219, 3609]"
lord of illusions,"[2414, 16515, 3931, 6671, 3300]"
mad love,"[16692, 19372, 12282, 1276, 4002]"
mallrats,"[8259, 9027, 1158, 176, 3500]"
mighty morphin power rangers: the movie,"[21045, 6129, 15866, 20600, 3044]"
moonlight and valentino,"[615, 4766, 3711, 20987, 4691]"
mute witness,"[17034, 11139, 6891, 18250, 2761]"
nadja,"[13876, 21193, 9647, 20510, 10669]"
the net,"[5279, 5511, 11271, 15366, 14684]"
nine months,"[16350, 4092, 13787, 15618, 6791]"
party girl,"[647, 2655, 1415, 14486, 5370]"
the prophecy,"[6928, 1233, 17178, 13593, 18312]"
safe,"[180, 6891, 13593, 15054, 17034]"
the scarlet letter,"[8778, 13939, 9755, 8678, 1218]"
smoke,"[14088, 19586, 16425, 6448, 15464]"
something to talk about,"[8778, 9058, 125, 4046, 9944]"
species,"[18496, 72, 9376, 6074, 17172]"
the stars fell on henrietta,"[18918, 85, 1596, 4573, 137]"
strange days,"[21681, 14738, 16741, 9400, 7874]"
the umbrellas of cherbourg,"[8269, 2128, 8188, 6676, 7318]"
three wishes,"[18140, 12694, 6369, 3382, 19395]"
total eclipse,"[16469, 7417, 21604, 20597, 12348]"
"to wong foo, thanks for everything! julie newmar","[16868, 297, 15619, 3339, 336]"
under siege 2: dark territory,"[6346, 11713, 1001, 12623, 11362]"
unstrung heroes,"[4535, 12043, 1891, 4220, 5873]"
unzipped,"[19076, 18549, 10533, 16005, 20101]"
a walk in the clouds,"[751, 7605, 5614, 8184, 12253]"
waterworld,"[3755, 4431, 1125, 388, 13586]"
white man's burden,"[8252, 9050, 11883, 21253, 127]"
wild bill,"[3859, 20468, 15949, 18472, 14252]"
the browning version,"[3802, 12809, 14231, 12387, 14954]"
burnt by the sun,"[19973, 18506, 12905, 12152, 2454]"
before the rain,"[8951, 5761, 14234, 6549, 12534]"
before sunrise,"[10014, 17562, 5997, 1418, 6350]"
billy madison,"[13983, 14958, 1284, 4239, 2751]"
boys on the side,"[2550, 3799, 336, 13863, 2173]"
the cure,"[240, 205, 5709, 3700, 269]"
castle freak,"[15011, 3906, 3540, 3217, 19848]"
circle of friends,"[20334, 20051, 732, 6735, 17211]"
clerks,"[8259, 9027, 9152, 16409, 15960]"
don juan demarco,"[317, 231, 6634, 16348, 5060]"
disclosure,"[2125, 4388, 4776, 396, 753]"
drop zone,"[10552, 485, 2385, 6202, 9634]"
death and the maiden,"[11748, 7945, 11139, 18250, 2761]"
dolores claiborne,"[2096, 1247, 1231, 4648, 16495]"
dumb and dumber,"[15860, 4209, 2506, 10069, 2146]"
eat drink man woman,"[14750, 12913, 20021, 12971, 14344]"
exotica,"[1795, 9046, 8285, 7688, 11296]"
